budget_dollars,solved_problems
0.0,0
0.006312499999999999,1
0.008536249999999999,2
0.008655,3
0.009972749999999999,4
0.014158749999999998,5
0.01855875,6
0.019028749999999997,7
0.026808749999999996,8
0.0355175,9
0.03659625,10
0.03681399999999999,11
0.04609,12
0.046928,13
0.058498749999999995,14
0.09879649999999998,15
0.13476024999999997,16
0.13789799999999997,17
0.20340049999999998,18
0.26597499999999996,19
0.2913505,19
