cell,theorem,stage,arm,seed,success,qualified_solve,platform_failed,cost,input_tokens,cached_input_tokens,output_tokens,model_requests,tool_advertised_requests,real_snippet_checks,snippet_rejected,snippet_open,snippet_completed,snippet_resource_exhausted,snippet_unknown,snippet_reused,snippet_requests,actual_book_requests,source
snippets-v1__amc12a_2013_p8__validation-A__seed0,amc12a_2013_p8,validation,A,0,True,True,False,0.02489532,138930,58666,6391,12,4,4,3,1,0,0,0,0,4,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__amc12a_2013_p8__validation-A__seed0
snippets-v1__amc12_2001_p21__validation-A__seed0,amc12_2001_p21,validation,A,0,True,True,False,0.01767476,122215,66128,4279,9,9,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__amc12_2001_p21__validation-A__seed0
snippets-v1__mathd_numbertheory_284__validation-A__seed0,mathd_numbertheory_284,validation,A,0,True,True,False,0.0020231999999999997,9480,0,106,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_numbertheory_284__validation-A__seed0
snippets-v1__mathd_algebra_234__validation-A__seed0,mathd_algebra_234,validation,A,0,True,True,False,0.0021394,9461,0,206,1,1,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_algebra_234__validation-A__seed0
snippets-v1__algebra_others_exirrpowirrrat__validation-A__seed0,algebra_others_exirrpowirrrat,validation,A,0,False,False,False,0.036729679999999994,492658,406544,9480,30,30,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__algebra_others_exirrpowirrrat__validation-A__seed0
snippets-v1__mathd_algebra_327__validation-A__seed0,mathd_algebra_327,validation,A,0,True,True,False,0.0033507199999999997,31900,19096,340,3,3,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_algebra_327__validation-A__seed0
snippets-v1__mathd_numbertheory_64__validation-A__seed0,mathd_numbertheory_64,validation,A,0,True,True,False,0.012337,114185,80200,3280,10,10,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_numbertheory_64__validation-A__seed0
snippets-v1__imo_1981_p6__validation-A__seed0,imo_1981_p6,validation,A,0,True,True,False,0.007407799999999999,21121,0,2653,2,2,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__imo_1981_p6__validation-A__seed0
snippets-v1__mathd_numbertheory_37__validation-A__seed0,mathd_numbertheory_37,validation,A,0,False,False,False,0.02392192,377066,318236,4826,27,27,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__mathd_numbertheory_37__validation-A__seed0
snippets-v1__induction_prod1p1onk3le3m1onn__validation-A__seed0,induction_prod1p1onk3le3m1onn,validation,A,0,False,False,False,0.03892268,227767,96044,8881,14,14,0,0,0,0,0,0,0,0,0,experiments/output/ace_snippets_20260913/validation/configs/snippets-v1__induction_prod1p1onk3le3m1onn__validation-A__seed0
