bench_name,model_name,temperature,max_feedback_cycles,seed,loop,max_dollar_budget,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,,30,0,True,0.5,low,True,1,1,1910,1792,369,0.0040615
002,gpt-5.4,,30,0,True,0.5,low,True,1,1,1910,1792,448,0.0048515
003,gpt-5.4,,30,0,True,0.5,low,True,1,1,1909,1792,1860,0.018970249999999998
004,gpt-5.4,,30,0,True,0.5,low,True,2,2,4555,3584,1633,0.01799175
005,gpt-5.4,,30,0,True,0.5,low,True,1,1,1910,1792,853,0.0089015
006,gpt-5.4,,30,0,True,0.5,low,True,1,1,1910,1792,481,0.0051814999999999995
007,gpt-5.4,,30,0,True,0.5,low,True,1,1,1910,1792,699,0.0073615
008,gpt-5.4,,30,0,True,0.5,low,True,1,1,1910,1792,2222,0.022591499999999997
009,gpt-5.4,,30,0,True,0.5,low,True,3,3,8545,5376,3132,0.03595324999999999
010,gpt-5.4,,30,0,True,0.5,low,True,2,2,3822,1792,1158,0.014341499999999998
011,gpt-5.4,,30,0,True,0.5,low,True,1,1,1916,1792,179,0.002169
012,gpt-5.4,,30,0,True,0.5,low,True,1,1,1919,1792,2017,0.020552749999999998
013,gpt-5.4,,30,0,True,0.5,low,True,2,2,4385,3584,1194,0.013389249999999998
014,gpt-5.4,,30,0,True,0.5,low,True,1,1,1913,1792,166,0.0020352499999999997
015,gpt-5.4,,30,0,True,0.5,low,True,6,6,16380,11776,6954,0.07676699999999999
016,gpt-5.4,,30,0,True,0.5,low,True,2,2,3828,3584,3571,0.036462999999999995
017,gpt-5.4,,30,0,True,0.5,low,True,1,1,1915,1792,206,0.00243775
018,gpt-5.4,,30,0,True,0.5,low,False,15,15,94334,68864,47787,0.5183155
019,gpt-5.4,,30,0,True,0.5,low,False,16,16,80728,49408,47146,0.516786
020,gpt-5.4,,30,0,True,0.5,low,False,22,22,241130,209408,47800,0.5438284999999999
021,gpt-5.4,,30,0,True,0.5,low,True,5,5,14227,7168,7527,0.08498975
022,gpt-5.4,,30,0,True,0.5,low,True,5,5,20183,15104,11974,0.12797675
