bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-mini,medium,high,9,3,12,0,True,0.2,True,5,13918,11264,2555,0.030275499999999997
002,gpt-5.4,gpt-5.4-mini,medium,high,5,3,12,0,True,0.2,False,3,7370,5632,21050,0.21337649999999997
003,gpt-5.4,gpt-5.4-mini,medium,high,17,3,12,0,True,0.2,False,9,29364,22528,19799,0.20935099999999998
004,gpt-5.4,gpt-5.4-mini,medium,high,25,3,12,0,True,0.2,False,13,44640,33792,28429,0.30207399999999995
005,gpt-5.4,gpt-5.4-mini,medium,high,11,3,12,0,True,0.2,False,6,17700,14080,21802,0.22430499999999998
006,gpt-5.4,gpt-5.4-mini,medium,high,11,3,12,0,True,0.2,True,6,17493,14080,3736,0.043386249999999994
007,gpt-5.4,gpt-5.4-mini,medium,high,13,3,12,0,True,0.2,True,7,21364,16896,6660,0.074297
008,gpt-5.4,gpt-5.4-mini,medium,high,9,3,12,0,True,0.2,False,5,15339,11264,22109,0.22759174999999998
009,gpt-5.4,gpt-5.4-mini,medium,high,9,3,12,0,True,0.2,False,5,15442,11264,26076,0.2673905
010,gpt-5.4,gpt-5.4-mini,medium,high,15,3,12,0,True,0.2,False,8,24525,19712,24436,0.25284025
011,gpt-5.4,gpt-5.4-mini,medium,high,3,3,12,0,True,0.2,True,2,3945,2816,1471,0.01647325
012,gpt-5.4,gpt-5.4-mini,medium,high,11,3,12,0,True,0.2,True,6,18281,14080,11507,0.12208125
013,gpt-5.4,gpt-5.4-mini,medium,high,11,3,12,0,True,0.2,False,6,18017,11264,21440,0.22424924999999998
014,gpt-5.4,gpt-5.4-mini,medium,high,3,3,12,0,True,0.2,True,2,3910,2816,1946,0.021179499999999997
015,gpt-5.4,gpt-5.4-mini,medium,high,9,3,12,0,True,0.2,False,5,13910,11264,21285,0.21756549999999997
016,gpt-5.4,gpt-5.4-mini,medium,high,21,3,12,0,True,0.2,False,11,35907,28160,28045,0.29365375
017,gpt-5.4,gpt-5.4-mini,medium,high,3,3,12,0,True,0.2,True,2,3940,2816,1147,0.013227
018,gpt-5.4,gpt-5.4-mini,medium,high,13,3,12,0,True,0.2,False,7,23360,16896,19115,0.20134199999999997
019,gpt-5.4,gpt-5.4-mini,medium,high,13,3,12,0,True,0.2,False,7,23882,16896,19634,0.20718449999999997
020,gpt-5.4,gpt-5.4-mini,medium,high,9,3,12,0,True,0.2,False,5,14879,11264,27932,0.28524675
021,gpt-5.4,gpt-5.4-mini,medium,high,11,3,12,0,True,0.2,False,6,18234,14080,22136,0.22831249999999997
022,gpt-5.4,gpt-5.4-mini,medium,high,15,3,12,0,True,0.2,False,8,26200,20224,22710,0.23709799999999998
