bench_name,model_name,temperature,max_feedback_cycles,seed,loop,max_dollar_budget,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.2,1.0,10,0,True,0.25,True,1,1,1910,1792,258,0.0041321
002,gpt-5.2,1.0,10,0,True,0.25,True,2,2,4217,3456,699,0.011722549999999998
003,gpt-5.2,1.0,10,0,True,0.25,True,1,1,1909,1664,825,0.01226995
004,gpt-5.2,1.0,10,0,True,0.25,True,6,6,12862,11904,2188,0.0343917
005,gpt-5.2,1.0,10,0,True,0.25,True,1,1,1910,1664,377,0.0059997
006,gpt-5.2,1.0,10,0,True,0.25,True,12,12,30535,24832,5893,0.09682785000000001
007,gpt-5.2,1.0,10,0,True,0.25,True,3,3,6526,5888,1542,0.023734899999999996
008,gpt-5.2,1.0,10,0,True,0.25,True,16,16,73079,47744,11914,0.21948744999999997
009,gpt-5.2,1.0,10,0,True,0.25,True,23,23,76819,62976,11558,0.19705805000000004
010,gpt-5.2,1.0,10,0,True,0.25,False,54,54,103194,90368,15141,0.2502339
011,gpt-5.2,1.0,10,0,True,0.25,True,1,1,1916,1664,184,0.0033082
012,gpt-5.2,1.0,10,0,True,0.25,True,19,19,59286,45312,9161,0.1606381
013,gpt-5.2,1.0,10,0,True,0.25,True,15,15,50909,41600,6248,0.11104275
014,gpt-5.2,1.0,10,0,True,0.25,True,4,4,9262,8448,789,0.013948899999999998
015,gpt-5.2,1.0,10,0,True,0.25,False,32,32,80511,63104,15283,0.25546745
016,gpt-5.2,1.0,10,0,True,0.25,False,35,35,107806,83712,14059,0.2536401
017,gpt-5.2,1.0,10,0,True,0.25,True,1,1,1915,1792,191,0.00320285
018,gpt-5.2,1.0,10,0,True,0.25,False,30,30,101771,81536,15059,0.26050605
019,gpt-5.2,1.0,10,0,True,0.25,False,22,22,123579,104832,15733,0.27141485
020,gpt-5.2,1.0,10,0,True,0.25,False,30,30,174904,153984,13804,0.2568132
021,gpt-5.2,1.0,10,0,True,0.25,False,28,28,76929,61696,15315,0.25186455
022,gpt-5.2,1.0,10,0,True,0.25,False,24,24,127942,96768,12946,0.25273290000000004
