bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-mini,high,low,9,3,12,0,True,0.2,True,5,13918,11264,1076,0.0154855
002,gpt-5.4,gpt-5.4-mini,high,low,11,3,12,0,True,0.2,True,6,17409,14080,1556,0.021481249999999997
003,gpt-5.4,gpt-5.4-mini,high,low,15,3,12,0,True,0.2,True,8,25660,19712,3221,0.042108999999999994
004,gpt-5.4,gpt-5.4-mini,high,low,21,3,12,0,True,0.2,True,11,37210,28160,4888,0.06371249999999999
005,gpt-5.4,gpt-5.4-mini,high,low,15,3,12,0,True,0.2,True,8,24598,19712,4943,0.058001500000000004
006,gpt-5.4,gpt-5.4-mini,high,low,11,3,12,0,True,0.2,True,6,17581,14592,1857,0.024130249999999995
007,gpt-5.4,gpt-5.4-mini,high,low,11,3,12,0,True,0.2,True,6,17596,14080,1805,0.024204999999999997
008,gpt-5.4,gpt-5.4-mini,high,low,43,3,12,0,True,0.2,False,22,84579,66304,18243,0.21356174999999997
009,gpt-5.4,gpt-5.4-mini,high,low,31,3,12,0,True,0.2,False,16,63612,49920,19574,0.219095
010,gpt-5.4,gpt-5.4-mini,high,low,31,3,12,0,True,0.2,False,16,54654,42240,18581,0.2066075
011,gpt-5.4,gpt-5.4-mini,high,low,3,3,12,0,True,0.2,True,2,3987,2816,787,0.009685749999999998
012,gpt-5.4,gpt-5.4-mini,high,low,15,3,12,0,True,0.2,True,8,26102,19712,4458,0.0550315
013,gpt-5.4,gpt-5.4-mini,high,low,23,3,12,0,True,0.2,True,12,40901,30976,5775,0.07402824999999999
014,gpt-5.4,gpt-5.4-mini,high,low,3,3,12,0,True,0.2,True,2,3939,2816,737,0.009125749999999998
015,gpt-5.4,gpt-5.4-mini,high,low,29,3,12,0,True,0.2,False,15,51967,39424,19494,0.21554675
016,gpt-5.4,gpt-5.4-mini,high,low,27,3,12,0,True,0.2,False,14,47743,36608,18975,0.20824474999999995
017,gpt-5.4,gpt-5.4-mini,high,low,19,3,12,0,True,0.2,True,10,34236,26368,11634,0.129471
018,gpt-5.4,gpt-5.4-mini,high,low,37,3,12,0,True,0.2,False,19,76646,54784,17119,0.2053655
019,gpt-5.4,gpt-5.4-mini,high,low,27,3,12,0,True,0.2,False,14,55018,40192,18240,0.2059565
020,gpt-5.4,gpt-5.4-mini,high,low,41,3,12,0,True,0.2,False,21,81930,64000,17792,0.20833249999999995
021,gpt-5.4,gpt-5.4-mini,high,low,35,3,12,0,True,0.2,False,18,67730,51456,18795,0.21472449999999996
022,gpt-5.4,gpt-5.4-mini,high,low,51,3,12,0,True,0.2,False,26,100887,80128,17197,0.20793475000000003
