bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-nano,medium,medium,9,3,12,0,True,0.2,True,5,13918,8448,1562,0.023513499999999996
002,gpt-5.4,gpt-5.4-nano,medium,medium,11,3,12,0,True,0.2,True,6,17427,14080,3186,0.03780375
003,gpt-5.4,gpt-5.4-nano,medium,medium,11,3,12,0,True,0.2,False,7,15800,11264,19690,0.203978
004,gpt-5.4,gpt-5.4-nano,medium,medium,21,3,12,0,True,0.2,True,11,37008,28160,8275,0.09733
005,gpt-5.4,gpt-5.4-nano,medium,medium,11,3,12,0,True,0.2,True,6,17756,14080,4200,0.048354999999999995
006,gpt-5.4,gpt-5.4-nano,medium,medium,11,3,12,0,True,0.2,True,6,17581,14080,2683,0.032966249999999996
007,gpt-5.4,gpt-5.4-nano,medium,medium,13,3,12,0,True,0.2,True,7,21147,16896,4207,0.049495750000000005
008,gpt-5.4,gpt-5.4-nano,medium,medium,9,3,12,0,True,0.2,False,5,13844,11264,20794,0.212573
009,gpt-5.4,gpt-5.4-nano,medium,medium,25,3,12,0,True,0.2,False,13,45734,30976,27406,0.2963795
010,gpt-5.4,gpt-5.4-nano,medium,medium,17,3,12,0,True,0.2,True,9,28145,19712,5229,0.06529525
011,gpt-5.4,gpt-5.4-nano,medium,medium,3,3,12,0,True,0.2,True,2,3965,2816,1203,0.013818249999999999
012,gpt-5.4,gpt-5.4-nano,medium,medium,13,3,12,0,True,0.2,True,7,21998,14080,7225,0.0839075
013,gpt-5.4,gpt-5.4-nano,medium,medium,21,3,12,0,True,0.2,False,11,36695,28160,18985,0.20403875
014,gpt-5.4,gpt-5.4-nano,medium,medium,3,3,12,0,True,0.2,True,2,3910,2816,848,0.0101995
015,gpt-5.4,gpt-5.4-nano,medium,medium,19,3,12,0,True,0.2,False,10,32949,25344,30910,0.32177425
016,gpt-5.4,gpt-5.4-nano,medium,medium,15,3,12,0,True,0.2,False,8,25285,19712,23898,0.24841024999999994
017,gpt-5.4,gpt-5.4-nano,medium,medium,3,3,12,0,True,0.2,True,2,3940,2816,851,0.010266999999999998
018,gpt-5.4,gpt-5.4-nano,medium,medium,15,3,12,0,True,0.2,False,8,27163,19712,19310,0.20487774999999997
019,gpt-5.4,gpt-5.4-nano,medium,medium,13,3,12,0,True,0.2,False,7,24197,18944,21061,0.21954425
020,gpt-5.4,gpt-5.4-nano,medium,medium,15,3,12,0,True,0.2,False,8,27018,19712,22439,0.2359865
021,gpt-5.4,gpt-5.4-nano,medium,medium,15,3,12,0,True,0.2,False,8,25013,19712,22279,0.23188025
022,gpt-5.4,gpt-5.4-nano,medium,medium,21,3,12,0,True,0.2,False,11,36069,25344,20679,0.22336425
