stage,arm,seed,n,theorems,solves,coverage,cost,cost_per_solve,failed_cost,requests,auto_finished,missing_usage,max_cell_cost,input_cost,output_cost,large_context_requests,cost_interval,cost_per_solve_interval,failed_cost_interval,bounded_cost_cells,unknown_charge_upper,cost_is_exact,billing_note
validation,B1,0,40,40,26,0.65,1.1557898,0.044453453846153845,0.8979104099999999,647,0,0,0.1580936,0.5980946,0.5576952,1,,,,,,,
validation,B1,1,40,40,23,0.575,1.24165974,0.05398520608695652,1.09048407,662,0,0,0.14002596,0.51514734,0.7265124,0,,,,,,,
validation,B2,0,40,40,25,0.625,1.01230417,0.0404921668,0.74647078,619,0,0,0.13905541999999999,0.59317357,0.41913059999999996,1,,,,,,,
validation,B2,1,40,40,27,0.675,0.78998141,0.02925857074074074,0.57459708,584,0,0,0.10090557,0.47945141,0.31053,0,,,,,,,
validation,O1,0,40,40,28,0.7,0.9150645700000001,0.032680877500000004,0.65669234,558,8,0,0.12493967999999998,0.60505837,0.3100062,1,,,,,,,
validation,O1,1,40,40,28,0.7,0.7595744099999999,0.027127657499999996,0.53101037,567,4,0,0.0928317,0.38697321,0.37260119999999997,0,,,,,,,
validation,P1,0,40,40,27,0.675,0.81140304,0.030051964444444444,0.6080775199999999,594,3,0,0.11975482,0.41031384,0.4010892,0,,,,,,,
validation,P1,1,40,40,23,0.575,0.8940035199999999,0.03886971826086956,0.71850019,665,3,0,0.10193231999999999,0.46217272,0.43183079999999996,0,,,,,,,
validation,S1,0,40,40,28,0.7,0.99579635,0.03556415535714286,0.7538678400000001,548,7,0,0.24873624000000003,0.62361035,0.37218599999999996,1,,,,,,,
validation,S1,1,40,40,27,0.675,0.9601789199999999,0.03556218222222222,0.7411215899999999,574,6,0,0.17683286999999998,0.58414212,0.37603679999999995,1,,,,,,,
