stage,arm,description,n,solves,mean_solves_per_40,all_attempt_cost,all_attempt_cost_lower,all_attempt_cost_upper,invoice_exact,mean_cost_per_40,cost_per_solve,requests,failed_cost,baseline,solve_difference_per_40,saving,saving_lower,saving_upper,saving_ci90_low,saving_ci90_high,family_saving_ci90_low,family_saving_ci90_high,theorem_cost_sign_flip_p,leave_one_theorem_out_low,leave_one_theorem_out_high,practical_target
train,A0,Ordinary assisted,80,63,31.5,1.7147972299999998,1.7147972299999998,1.7147972299999998,True,0.8573986149999999,0.027219003650793647,1053,0.9993621499999998,,,,,,,,,,,,,
train,A1,Historical X5,80,67,33.5,1.6362074199999999,1.6362074199999999,1.6362074199999999,True,0.8181037099999999,0.024421006268656714,962,0.7582427899999999,A0,2.0,0.04583038077335799,0.04583038077335799,0.04583038077335799,-0.16747067659843032,0.22289901246682634,-0.16737035288978164,0.19118695202191277,0.7104057918841623,-0.008393205747111665,0.10077729837826288,False
train,A2,Full Sol book,80,61,30.5,1.7093384600000001,1.7093384600000001,1.7093384600000001,True,0.8546692300000001,0.028021941967213117,1077,1.06549122,A0,-1.0,0.003183332643941661,0.003183332643941661,0.003183332643941661,-0.24413374527122178,0.2047058763074175,-0.25071090273908364,0.20181574421810708,0.9813603727925442,-0.08058303601246064,0.047679826146398985,False
train,S1,Full Luna book,80,63,31.5,1.7035855599999998,1.7035855599999998,1.7035855599999998,True,0.8517927799999999,0.027041040634920632,963,0.9874350499999999,A0,0.0,0.006538189940976991,0.006538189940976991,0.006538189940976991,-0.21996696059443058,0.20912356289209258,-0.2477604230229164,0.19143327175967287,0.9630207395852083,-0.08171970200779954,0.05454845764239846,False
train,P1,Short Sol pilot book,80,59,29.5,1.7450815,1.7450815,1.7450815,True,0.87254075,0.029577652542372882,1132,1.19571499,A0,-2.0,-0.01766055453681825,-0.01766055453681825,-0.01766055453681825,-0.24957811934557636,0.17812673041633473,-0.2796281562328885,0.1921686137308411,0.8954820903581928,-0.11000577298250569,0.023240921241793,False
train,O1,Adaptive then frozen,80,64,32.0,1.49239593,1.49239593,1.49239593,True,0.746197965,0.02331868640625,931,0.8585520999999999,A0,0.5,0.12969539261502094,0.12969539261502094,0.12969539261502094,-0.015262838599420339,0.26108917038116913,-0.028755004821868217,0.24456195991394666,0.17843643127137457,0.07791101282063229,0.15919679797780972,True
train,R1,Three verified rule repairs,80,66,33.0,1.58172861,1.58172861,1.58172861,True,0.790864305,0.023965585,981,0.74648377,A0,1.5,0.07760020699356984,0.07760020699356984,0.07760020699356984,-0.151649003189917,0.26806373052972,-0.19306268330543597,0.2647480500907188,0.5822483550328993,-0.008333772523996918,0.14515618672691055,False
train,B0,Ordinary plain,80,61,30.5,1.81116342,1.81116342,1.81116342,True,0.90558171,0.029691203606557377,1173,1.09122317,,,,,,,,,,,,,
train,B1,Plain-source Sol book,80,65,32.5,1.87338304,1.65099032,1.87338304,False,0.93669152,0.02882127753846154,993,1.18981102,B0,2.0,-0.03435339920900149,-0.03435339920900149,0.08843658072555372,-0.3522534588193802,0.28505343824640567,-0.31461615675370663,0.2985852736738874,,-0.0896280178083706,0.19508043885297321,False
train,B2,Teacher-evidence Sol book,80,66,33.0,1.8124201599999998,1.8124201599999998,1.8124201599999998,True,0.9062100799999999,0.027460911515151513,995,1.01696978,B0,2.5,-0.0006938854805269568,-0.0006938854805269568,-0.0006938854805269568,-0.21964575041484372,0.2059882828163274,-0.25897260592254695,0.26601107381157285,0.9955000899982,-0.06285905108336798,0.07253701582287275,False
train,online_A2,Online assisted,80,64,32.0,1.62155206,1.62155206,1.62155206,True,0.81077603,0.0253367509375,1031,0.89796791,A0,0.5,0.054376790659966145,0.054376790659966145,0.054376790659966145,-0.15337588144305175,0.22834002504778,-0.21409835452252973,0.21741615319255028,0.6773864522709546,-0.026388523963960964,0.0933061051086923,False
train,online_B1,Online plain,80,64,32.0,1.7331545499999998,1.7331545499999998,1.7331545499999998,True,0.8665772749999999,0.027080539843749998,1033,0.92422752,B0,1.5,0.04307113821899067,0.04307113821899067,0.04307113821899067,-0.14754497058595709,0.20836762227331146,-0.17793420648660452,0.22081611603779083,0.7011059778804424,-0.012463023095706571,0.09541000846153891,False
train,online_B2,Online teacher,80,64,32.0,1.79179861,1.79179861,1.79179861,True,0.895899305,0.02799685328125,1063,0.96221875,B0,1.5,0.010691917574174425,0.010691917574174425,0.010691917574174425,-0.15857006419376743,0.1651667321804328,-0.16850668476483677,0.17226771226388846,0.9177216455670887,-0.042939916396453004,0.0643608188478183,False
validation,A0,Ordinary assisted,80,56,28.0,1.7543410099999999,1.7543410099999999,1.7543410099999999,True,0.8771705049999999,0.031327518035714284,1173,1.16181794,,,,,,,,,,,,,
validation,A1,Historical X5,80,57,28.5,2.00053497,2.00053497,2.00053497,True,1.000267485,0.035097104736842105,1092,1.45164084,A0,0.5,-0.14033415316444064,-0.14033415316444064,-0.14033415316444064,-0.41250739540581477,0.08172206089245393,-0.34187527280875146,0.10013987586957888,0.4109717805643887,-0.18825743148336116,-0.02118810817222827,False
validation,A2,Full Sol book,80,52,26.0,1.91452169,1.91452169,1.91452169,True,0.957260845,0.036817724807692305,1159,1.54922869,A0,-2.0,-0.09130532723509677,-0.09130532723509677,-0.09130532723509677,-0.4201824429884915,0.17442741793890507,-0.23400387969170222,0.05764823065783444,0.621687566248675,-0.21950254679234305,0.03161017615497852,False
validation,S1,Full Luna book,80,55,27.5,1.95597527,1.95597527,1.95597527,True,0.977987635,0.035563186727272725,1122,1.49498943,A0,-0.5,-0.11493447331542428,-0.11493447331542428,-0.11493447331542428,-0.32387020049289944,0.08442556974626567,-0.3451343727411838,0.07770928774511185,0.3974320513589728,-0.15536197766126003,-0.0344287206388576,False
validation,P1,Short Sol pilot book,80,50,25.0,1.70540656,1.70540656,1.70540656,True,0.85270328,0.034108131199999996,1259,1.32657771,A0,-3.0,0.027893351247600173,0.027893351247600173,0.027893351247600173,-0.18762507612070298,0.19453492968194358,-0.15020906088702504,0.15844724766094606,0.8211635767284654,-0.04393146383010138,0.07823674498119537,False
validation,O1,Adaptive then frozen,80,56,28.0,1.67463898,1.67463898,1.67463898,True,0.83731949,0.0299042675,1125,1.18770271,A0,0.0,0.045431321245804956,0.045431321245804956,0.045431321245804956,-0.10062563599175535,0.1659167909068576,-0.04721576008819871,0.14040154321603776,0.5903481930361393,0.014521925896758714,0.09065753585546132,False
validation,B0,Ordinary plain,80,49,24.5,1.86279672,1.86279672,1.86279672,True,0.93139836,0.038016259591836736,1347,1.45446884,,,,,,,,,,,,,
validation,B1,Plain-source Sol book,80,49,24.5,2.3974495399999998,2.3974495399999998,2.3974495399999998,True,1.1987247699999999,0.04892754163265306,1309,1.98839448,B0,0.0,-0.2870161914392888,-0.2870161914392888,-0.2870161914392888,-0.5820952290418824,-0.04082526653851415,-0.6284235688083791,-0.0052746738996662995,0.06903861922761545,-0.37300446113631347,-0.1867392483674284,False
validation,B2,Teacher-evidence Sol book,80,52,26.0,1.80228558,1.80228558,1.80228558,True,0.90114279,0.03465933807692308,1203,1.32106786,B0,1.5,0.03248402756474711,0.03248402756474711,0.03248402756474711,-0.2395196080329987,0.24936845378652783,-0.23840320306350804,0.2665701676078808,0.8382432351352973,-0.051055988196995195,0.12306287185502007,False
