campaign,role,models,outputs,parsed_outputs,requests,normalized_cost,reasoning_tokens
ace_roles_20260913,write_ace_choices,gpt-5.6-luna,42,42,93,0.19597376,12906
ace_roles_20260913,write_rocq_receipts,gpt-5.6-luna,8,8,22,0.036510049999999995,3506
ace_sanitized_20260917,learning_plan_pilot,gpt-5.6-luna,24,24,24,0.07848269999999999,5852
ace_sanitized_20260917,reflect_learning_repairs,gpt-5.6-luna,40,40,114,0.33851906,14742
ace_sanitized_20260917,write_learning_book_edits,gpt-5.6-luna,32,32,94,0.37736957,9770
ace_snippets_20260913,write_checked_rocq_advice,gpt-5.6-luna,26,25,37,0.08031535999999999,3374
ace_snippets_20260913,write_rocq_drafts,gpt-5.6-luna,8,5,21,0.040497979999999996,3612
ace_snippets_20260913,write_rocq_receipts,gpt-5.6-luna,8,7,21,0.042074459999999994,3113
ace_thesis_20260918,reflect_learning_repairs,gpt-5.6-luna,12,12,32,0.12496782,4611
ace_thesis_20260918,write_learning_book_edits,gpt-5.6-luna,9,9,25,0.10018004,3557
change_control_primary,change_episode,gpt-5.6-luna,12,12,29,0.04210128,9390
change_control_terra,change_episode,gpt-5.6-terra,12,12,12,0.13382,1549
luna_high_20260910,change_episode,gpt-5.6-luna,6,6,6,0.0088342,2552
luna_upper_20260910,change_episode,gpt-5.6-luna,12,12,17,0.03389993,15474
terra_high_20260910,change_episode,gpt-5.6-terra,6,6,6,0.06745,797
