id,cell,stage,model,created,charged,status
4fa66713d87849e2b71f092f7344aba2,train__source_plain__imo_1963_p5__seed0,solver,gpt-5.6-luna,1789813287.0745497,0.00037191,settled
7f3bff93933f4f2fb5fba3e12570de9c,train__source_assisted__aime_1988_p3__seed0,solver,gpt-5.6-luna,1789813287.4734354,0.00043272,settled
afc37609c7fa48b3a7cbcb18f87f7d19,train__source_assisted__algebra_amgm_sum1toneqn_prod1tonleq1__seed0,solver,gpt-5.6-luna,1789813287.8458724,0.00103747,settled
25b1cf758fa24b72b0ce885bb9979151,train__source_plain__aime_1988_p3__seed0,solver,gpt-5.6-luna,1789813287.9121256,0.00046423,settled
35716e75bc2e4d5da0e18932ccfd0437,train__source_assisted__mathd_algebra_185__seed0,solver,gpt-5.6-luna,1789813288.0587456,0.00033956,settled
69168d12c9f643b38873cb9a839b4600,train__source_plain__algebra_amgm_sum1toneqn_prod1tonleq1__seed0,solver,gpt-5.6-luna,1789813288.1000545,0.00053699,settled
86fefbb8a29a43cc9a1d469fbc03d37b,train__source_plain__mathd_algebra_185__seed0,solver,gpt-5.6-luna,1789813288.2230587,0.00026865,settled
5a3c9d61b17f490f97d1848643f1a366,train__source_plain__induction_pord1p1on2powklt5on2__seed0,solver,gpt-5.6-luna,1789813288.303713,0.00091547,settled
31659b64232e48c28fc7a3ebcc63994b,train__source_plain__imo_1963_p5__seed0,solver,gpt-5.6-luna,1789813288.7343862,0.0002027,settled
98d8e240fce640f1bd0d9233a51a19f0,train__source_plain__mathd_algebra_185__seed0,solver,gpt-5.6-luna,1789813289.4858549,0.00078367,settled
47bc4d916a9c43b8a9bf2ce686499f1b,train__source_assisted__imo_1963_p5__seed0,solver,gpt-5.6-luna,1789813289.5224879,0.00109991,settled
4757a75e56784dd0b06f7b5042b5fdbb,train__source_assisted__aime_1988_p3__seed0,solver,gpt-5.6-luna,1789813289.6497126,0.0004494,settled
983306b5d3fa43959595bb9fbffc208a,train__source_assisted__imo_1967_p3__seed0,solver,gpt-5.6-luna,1789813289.7204304,0.00098181,settled
f18f502cd486405985fd1496beb15298,train__source_plain__aime_1988_p3__seed0,solver,gpt-5.6-luna,1789813289.7835653,0.00025819,settled
9840c1aa5646457893ae984f1b9bf8cc,train__source_plain__imo_1963_p5__seed0,solver,gpt-5.6-luna,1789813289.9555953,0.00026805,settled
4f4a5354d9754ee3a9bad0b67812687a,train__source_assisted__mathd_algebra_185__seed0,solver,gpt-5.6-luna,1789813290.0481267,0.00024327999999999996,settled
f19f6ae1bdf0459f9063b65c1aed27e5,train__source_plain__imo_1967_p3__seed0,solver,gpt-5.6-luna,1789813290.0840025,0.00103535,settled
a7a7d2626b1b4b299814e301b1bb93b9,train__source_plain__algebra_amgm_sum1toneqn_prod1tonleq1__seed0,solver,gpt-5.6-luna,1789813290.8849988,0.0005991799999999999,settled
9aa8f36c733a49cc808fbebeecd39768,train__source_plain__aime_1988_p3__seed0,solver,gpt-5.6-luna,1789813291.6222363,0.00251919,settled
648739b17d814691b3a99a0c916b5009,train__source_assisted__mathd_algebra_185__seed0,solver,gpt-5.6-luna,1789813291.6351886,0.00142434,settled
4fd04fe4f5494b3fb11873f135c93c4e,train__source_plain__imo_1963_p5__seed0,solver,gpt-5.6-luna,1789813292.6765244,0.00036348,settled
cdc5b51583464d339863a37771f397bc,train__source_plain__induction_pord1p1on2powklt5on2__seed0,solver,gpt-5.6-luna,1789813292.941554,0.00051728,settled
8bed4904c505408aa9a994fc5df63971,train__source_assisted__imo_1963_p5__seed0,solver,gpt-5.6-luna,1789813293.2918737,0.0011468,settled
