campaign,stage,label,platform_errors,n,theorems,solves,coverage,cost,cost_per_solve,failed_cost,requests,auto_finished,missing_usage,max_cell_cost,input_cost,output_cost,large_context_requests
ace_adaptation_attribution-terra-20260912,train,step29_generator_{theorem},0,1,1,1,1.0,0.0990608,0.0990608,0,8,0,0,0.0990608,0.033984799999999996,0.06507600000000001,0
ace_adaptation_attribution-terra-20260912,train,step30_generator_{theorem},0,1,1,1,1.0,0.0155704,0.0155704,0,2,0,0,0.0155704,0.0065704,0.009000000000000001,0
ace_adaptation_attribution-terra-20260912,train,step31_generator_{theorem},0,1,1,1,1.0,0.25021140000000003,0.25021140000000003,0,16,0,0,0.25021140000000003,0.10661939999999998,0.143592,0
ace_adaptation_attribution-terra-20260912,train,step32_generator_{theorem},0,1,1,1,1.0,0.029543899999999998,0.029543899999999998,0,5,0,0,0.029543899999999998,0.0137279,0.015816,0
ace_adaptation_attribution-terra-20260912,train,step33_generator_{theorem},0,1,1,1,1.0,0.1187028,0.1187028,0,10,0,0,0.1187028,0.0381468,0.080556,0
ace_adaptation_attribution-terra-20260912,train,step34_generator_{theorem},0,1,1,1,1.0,0.5630406,0.5630406,0,30,0,0,0.5630406,0.2498046,0.313236,0
ace_adaptation_attribution-terra-20260912,train,step35_generator_{theorem},0,1,1,1,1.0,0.0463407,0.0463407,0,8,0,0,0.0463407,0.023408699999999998,0.022932,0
ace_adaptation_attribution-terra-20260912,train,step36_generator_{theorem},0,1,1,1,1.0,0.005063,0.005063,0,1,0,0,0.005063,0.003743,0.00132,0
ace_adaptation_attribution-terra-20260912,train,step37_generator_{theorem},0,1,1,1,1.0,0.0924775,0.0924775,0,7,0,0,0.0924775,0.032189499999999996,0.060288,0
ace_adaptation_attribution-terra-20260912,train,step38_generator_{theorem},0,1,1,1,1.0,0.025786,0.025786,0,2,0,0,0.025786,0.018394,0.007392,0
ace_adaptation_attribution-terra-20260912,train,step39_generator_{theorem},0,1,1,0,0.0,0.3702481000000001,,0.3702481000000001,32,0,0,0.3702481000000001,0.21667209999999992,0.1535759999999999,0
ace_adaptation_x-mono,train,step00_generator_{theorem},0,1,1,1,1.0,0.0024887,0.0024887,0,5,0,0,0.0024887,0.0009971,0.0014916,0
ace_adaptation_x-mono,train,step01_generator_{theorem},0,1,1,1,1.0,0.06387911,0.06387911,0,27,0,0,0.06387911,0.023487109999999995,0.040392,0
ace_adaptation_x-mono,train,step02_generator_{theorem},0,1,1,1,1.0,0.00439466,0.00439466,0,4,0,0,0.00439466,0.00223106,0.0021636,0
ace_adaptation_x-mono,train,step03_generator_{theorem},0,1,1,1,1.0,0.00100343,0.00100343,0,3,0,0,0.00100343,0.00062063,0.0003828,0
ace_adaptation_x-mono,train,step04_generator_{theorem},0,1,1,1,1.0,0.0071994,0.0071994,0,8,1,0,0.0071994,0.0028121999999999995,0.004387199999999999,0
ace_adaptation_x-mono,train,step05_generator_{theorem},0,1,1,1,1.0,0.0027991399999999994,0.0027991399999999994,0,5,1,0,0.0027991399999999994,0.0019735399999999998,0.0008255999999999999,0
ace_adaptation_x-mono,train,step06_generator_{theorem},0,1,1,1,1.0,0.00197779,0.00197779,0,2,1,0,0.00197779,0.00151699,0.0004608,0
ace_adaptation_x-mono,train,step07_generator_{theorem},0,1,1,1,1.0,0.014480360000000001,0.014480360000000001,0,12,1,0,0.014480360000000001,0.00554156,0.0089388,0
ace_adaptation_x-mono,train,step08_generator_{theorem},0,1,1,1,1.0,0.00041648,0.00041648,0,1,0,0,0.00041648,0.00034808,6.84e-05,0
ace_adaptation_x-mono,train,step09_generator_{theorem},0,1,1,1,1.0,0.0013721,0.0013721,0,3,1,0,0.0013721,0.0007289,0.0006432,0
ace_adaptation_x-mono,train,step10_generator_{theorem},0,1,1,1,1.0,0.00769148,0.00769148,0,8,1,0,0.00769148,0.00288668,0.0048048,0
ace_adaptation_x-mono,train,step11_generator_{theorem},0,1,1,1,1.0,0.0096884,0.0096884,0,9,0,0,0.0096884,0.0050624,0.004626,0
ace_adaptation_x-mono,train,step12_generator_{theorem},0,1,1,1,1.0,0.0014781499999999997,0.0014781499999999997,0,1,1,0,0.0014781499999999997,0.0014193499999999998,5.88e-05,0
ace_adaptation_x-mono,train,step13_generator_{theorem},0,1,1,1,1.0,0.00056842,0.00056842,0,1,0,0,0.00056842,0.00040282,0.0001656,0
