bench_name,model_name,temperature,num_completions,max_feedback_cycles,seed,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5-mini-2025-08-07,1.0,1,10,0,True,1,2578,2432,2909,0.005915299999999999
002,gpt-5-mini-2025-08-07,1.0,1,10,0,True,1,2578,2432,2144,0.0043853
003,gpt-5-mini-2025-08-07,1.0,11,10,0,True,11,72440,54144,47680,0.1012876
004,gpt-5-mini-2025-08-07,1.0,1,10,0,True,1,2576,2432,6163,0.0124228
005,gpt-5-mini-2025-08-07,1.0,1,10,0,True,1,2578,2432,2502,0.0051013
006,gpt-5-mini-2025-08-07,1.0,2,10,0,True,2,5636,2432,10665,0.022191799999999998
007,gpt-5-mini-2025-08-07,1.0,3,10,0,True,3,9317,7040,18304,0.03735325
008,gpt-5-mini-2025-08-07,1.0,21,10,0,False,21,240614,211200,97540,0.20771349999999997
009,gpt-5-mini-2025-08-07,1.0,11,10,0,True,11,86705,71296,60153,0.12594065000000002
010,gpt-5-mini-2025-08-07,1.0,1,10,0,True,1,2579,2432,4256,0.00860955
011,gpt-5-mini-2025-08-07,1.0,1,10,0,True,1,2584,2432,3854,0.007806799999999999
012,gpt-5-mini-2025-08-07,1.0,5,10,0,True,5,17591,14592,25752,0.05261855
013,gpt-5-mini-2025-08-07,1.0,1,10,0,True,1,2587,2432,10721,0.02154155
014,gpt-5-mini-2025-08-07,1.0,1,10,0,True,1,2581,2432,2508,0.005114049999999999
015,gpt-5-mini-2025-08-07,1.0,11,10,0,True,11,69550,54784,85414,0.17588910000000002
016,gpt-5-mini-2025-08-07,1.0,15,10,0,False,15,71135,51200,97680,0.20162375
017,gpt-5-mini-2025-08-07,1.0,1,10,0,True,1,2583,2432,1089,0.00227655
018,gpt-5-mini-2025-08-07,1.0,12,10,0,False,12,96189,77696,100558,0.20768164999999997
019,gpt-5-mini-2025-08-07,1.0,15,10,0,False,15,97530,66816,100031,0.2094109
020,gpt-5-mini-2025-08-07,1.0,10,10,0,False,10,72351,56960,106652,0.21857574999999999
021,gpt-5-mini-2025-08-07,1.0,13,10,0,False,13,109130,91904,97832,0.2022681
022,gpt-5-mini-2025-08-07,1.0,13,10,0,False,13,99134,81792,99722,0.20582429999999996
