stage,arm,theorem,seed,success,qualified,platform_failed,cost,cost_per_cell_uncached,requests,book_exposures,result,trace_file
validation,B,amc12a_2019_p21,0,False,False,False,0.0403858,0.0963694,29,29,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__amc12a_2019_p21__seed0/result.yaml,analysis/traces/validation_B_amc12a_2019_p21_0.json
validation,B,mathd_algebra_433,0,True,True,False,0.0029717399999999996,0.0075684,4,4,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_algebra_433__seed0/result.yaml,analysis/traces/validation_B_mathd_algebra_433_0.json
validation,B,mathd_numbertheory_405,1,True,True,False,0.03478932,0.0460044,10,10,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_numbertheory_405__seed1/result.yaml,analysis/traces/validation_B_mathd_numbertheory_405_1.json
validation,B,mathd_numbertheory_284,1,True,True,False,0.00025816,0.0013881999999999998,1,1,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_numbertheory_284__seed1/result.yaml,analysis/traces/validation_B_mathd_numbertheory_284_1.json
validation,B,mathd_algebra_327,0,True,True,False,0.0013896400000000001,0.006232,4,4,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_algebra_327__seed0/result.yaml,analysis/traces/validation_B_mathd_algebra_327_0.json
validation,B,algebra_others_exirrpowirrrat,0,False,False,False,0.038524680000000006,0.0997758,28,28,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__algebra_others_exirrpowirrrat__seed0/result.yaml,analysis/traces/validation_B_algebra_others_exirrpowirrrat_0.json
validation,B,imo_1984_p6,0,False,False,False,0.04200458,0.063482,16,16,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__imo_1984_p6__seed0/result.yaml,analysis/traces/validation_B_imo_1984_p6_0.json
validation,B,mathd_algebra_214,1,True,True,False,0.00032359999999999995,0.0014701999999999998,1,1,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_algebra_214__seed1/result.yaml,analysis/traces/validation_B_mathd_algebra_214_1.json
validation,B,imo_1984_p6,1,False,False,False,0.01137172,0.0266152,10,10,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__imo_1984_p6__seed1/result.yaml,analysis/traces/validation_B_imo_1984_p6_1.json
validation,B,mathd_numbertheory_37,1,False,False,False,0.024888479999999998,0.07185659999999999,25,25,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_numbertheory_37__seed1/result.yaml,analysis/traces/validation_B_mathd_numbertheory_37_1.json
validation,B,mathd_algebra_421,1,True,True,False,0.00093348,0.0021149999999999997,1,1,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_algebra_421__seed1/result.yaml,analysis/traces/validation_B_mathd_algebra_421_1.json
validation,B,mathd_numbertheory_405,0,False,False,False,0.03663122,0.0496256,12,12,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_numbertheory_405__seed0/result.yaml,analysis/traces/validation_B_mathd_numbertheory_405_0.json
validation,B,mathd_numbertheory_43,0,False,False,False,0.020302719999999996,0.07168479999999999,24,24,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_numbertheory_43__seed0/result.yaml,analysis/traces/validation_B_mathd_numbertheory_43_0.json
validation,B,mathd_algebra_282,1,False,False,False,0.027899240000000006,0.1542866,37,37,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_algebra_282__seed1/result.yaml,analysis/traces/validation_B_mathd_algebra_282_1.json
validation,B,mathd_algebra_393,0,True,True,False,0.0049875200000000005,0.0106784,5,5,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_algebra_393__seed0/result.yaml,analysis/traces/validation_B_mathd_algebra_393_0.json
validation,B,mathd_numbertheory_64,0,True,True,False,0.01151334,0.028501199999999997,13,13,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_numbertheory_64__seed0/result.yaml,analysis/traces/validation_B_mathd_numbertheory_64_0.json
validation,B,amc12a_2008_p4,0,False,False,False,0.024233060000000008,0.1362386,44,44,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__amc12a_2008_p4__seed0/result.yaml,analysis/traces/validation_B_amc12a_2008_p4_0.json
validation,B,amc12b_2002_p3,0,True,True,False,0.009291919999999999,0.022332199999999996,10,10,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__amc12b_2002_p3__seed0/result.yaml,analysis/traces/validation_B_amc12b_2002_p3_0.json
validation,B,mathd_numbertheory_43,1,False,False,False,0.026444080000000002,0.0793054,28,28,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_numbertheory_43__seed1/result.yaml,analysis/traces/validation_B_mathd_numbertheory_43_1.json
validation,B,mathd_numbertheory_530,1,False,False,False,0.036861519999999995,0.093505,25,25,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_numbertheory_530__seed1/result.yaml,analysis/traces/validation_B_mathd_numbertheory_530_1.json
validation,B,mathd_numbertheory_530,0,False,False,False,0.040591720000000005,0.1231318,33,33,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__mathd_numbertheory_530__seed0/result.yaml,analysis/traces/validation_B_mathd_numbertheory_530_0.json
validation,B,aime_1984_p7,1,False,False,False,0.031830380000000005,0.0740294,22,22,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__aime_1984_p7__seed1/result.yaml,analysis/traces/validation_B_aime_1984_p7_1.json
validation,B,amc12a_2008_p4,1,True,True,False,0.010850059999999998,0.0211952,9,9,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__amc12a_2008_p4__seed1/result.yaml,analysis/traces/validation_B_amc12a_2008_p4_1.json
validation,B,imo_1969_p2,1,False,False,False,0.036527319999999995,0.0898516,21,21,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__imo_1969_p2__seed1/result.yaml,analysis/traces/validation_B_imo_1969_p2_1.json
validation,B,imo_1981_p6,1,True,True,False,0.00588016,0.0166024,8,8,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__imo_1981_p6__seed1/result.yaml,analysis/traces/validation_B_imo_1981_p6_1.json
validation,B,amc12a_2002_p6,1,True,True,False,0.00035346,0.0014879999999999997,1,1,experiments/output/ace_learning_20260914/validation/configs/validation__B__proof__amc12a_2002_p6__seed1/result.yaml,analysis/traces/validation_B_amc12a_2002_p6_1.json
