bench_name,model_name,temperature,max_feedback_cycles,seed,loop,max_dollar_budget,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.2,1.0,5,0,True,0.25,True,2,2,4156,3584,499,0.008614199999999999
002,gpt-5.2,1.0,5,0,True,0.25,True,1,1,1910,0,311,0.0076965
003,gpt-5.2,1.0,5,0,True,0.25,True,2,2,4488,4096,1132,0.0172508
004,gpt-5.2,1.0,5,0,True,0.25,True,2,2,4574,4224,1303,0.0195937
005,gpt-5.2,1.0,5,0,True,0.25,True,1,1,1910,1792,352,0.0054481
006,gpt-5.2,1.0,5,0,True,0.25,False,31,31,88665,69760,14723,0.25141375
007,gpt-5.2,1.0,5,0,True,0.25,True,4,4,9870,9088,2060,0.0317989
008,gpt-5.2,1.0,5,0,True,0.25,False,45,45,125794,102912,14491,0.2609271
009,gpt-5.2,1.0,5,0,True,0.25,True,16,16,35795,32384,5291,0.08571045
010,gpt-5.2,1.0,5,0,True,0.25,False,55,55,105105,89856,15006,0.2524945500000001
011,gpt-5.2,1.0,5,0,True,0.25,True,1,1,1916,1664,189,0.0033781999999999996
012,gpt-5.2,1.0,5,0,True,0.25,True,8,8,28459,20224,3183,0.06251245
013,gpt-5.2,1.0,5,0,True,0.25,True,9,9,25128,18432,4045,0.0715736
014,gpt-5.2,1.0,5,0,True,0.25,True,1,1,1913,1792,99,0.00191135
015,gpt-5.2,1.0,5,0,True,0.25,False,33,33,114068,98560,15299,0.25857299999999994
016,gpt-5.2,1.0,5,0,True,0.25,False,43,43,102158,82688,14424,0.2504789
017,gpt-5.2,1.0,5,0,True,0.25,True,1,1,1915,1664,197,0.0034884499999999997
018,gpt-5.2,1.0,5,0,True,0.25,False,30,30,92687,80128,15426,0.25196464999999996
019,gpt-5.2,1.0,5,0,True,0.25,False,23,23,91875,68096,14200,0.25233005
020,gpt-5.2,1.0,5,0,True,0.25,False,24,24,114416,88320,13800,0.25432399999999994
021,gpt-5.2,1.0,5,0,True,0.25,False,22,22,101736,82816,14524,0.25093879999999996
022,gpt-5.2,1.0,5,0,True,0.25,False,23,23,96494,64640,13493,0.2559585
