ledger,cell,receipt,date,stage,charged,uncached,input,cached,output
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,a58472092747489db21efd5995af3718,2026-09-12,luna,0.00057716,0.0016999999999999997,6880,6238,270
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,8f8b9441db874b7f9d1d905c4b300e45,2026-09-12,luna,0.0014625399999999998,0.0019317999999999998,8645,2607,169
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,eebc6eaeeb9c4573b90c4520b1f2f777,2026-09-12,luna,0.0018524400000000001,0.0034079999999999996,15288,8642,292
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,99b6d373e6f948a889ad99df6208fdb7,2026-09-12,luna,0.0036197,0.006371,22495,15285,1560
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,f075db620ffa474d955ae760fb1d8a33,2026-09-12,luna,0.00387784,0.0079264,30866,22492,1461
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,f65a7f016dab4a16b6c8ce0a080c07f8,2026-09-12,luna,0.00820434,0.0086736,31566,2607,1967
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,da0d42e911d74e94b4517eefad3a8dc5,2026-09-12,luna,0.00694074,0.00741,35922,2607,188
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,aime_1991_p6__luna-none-medium__gpt-5.6-luna__seed0,bdead2b45e644e8db4b7545ec1a89f9e,2026-09-12,luna,0.0036421799999999996,0.0101076,42978,35919,1260
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,e8bd0379d78e491ea441dc20f6841317,2026-09-12,luna,0.0008431399999999999,0.0013124,4030,2607,422
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,e5629d4658d3466fb3180e1a7aa34766,2026-09-12,luna,0.00046073999999999996,0.0011856,4764,4027,194
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,8f528c1046fd418b9cca93577a43dd4b,2026-09-12,luna,0.00070662,0.0015635999999999998,5280,4761,423
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,c42022c2d3df4fe6a9af1320279fa346,2026-09-12,luna,0.00049834,0.0014481999999999997,5975,5277,211
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,b99688758c3b43f7a2186076c2207e2f,2026-09-12,luna,0.00048543999999999996,0.0015604,6650,5972,192
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,f6388e1db99a488da30ac94c52c556f6,2026-09-12,luna,0.00053334,0.0017297999999999999,7101,6647,258
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,7cbf9e61dfde4c56815241a0ed0b7d1e,2026-09-12,luna,0.0011967599999999998,0.0024744,7632,7098,790
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,c6b62e2c4ddb4bf092869ab07890f47b,2026-09-12,luna,0.0016667399999999999,0.002136,7134,2607,591
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,50d85657a23b45499a2e7a2b2071b46d,2026-09-12,luna,0.00170554,0.0021748,7934,2607,490
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,088255a732dd481b9aea1e81941e68bc,2026-09-12,luna,0.00289334,0.0033626,8839,2607,1329
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,66eb6a54790842a9ae9b1d2c32f6f2f3,2026-09-12,luna,0.00241054,0.0028798,9803,2607,766
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,9b4765be005d41f581d2c03eea60e70d,2026-09-12,luna,0.0018499999999999999,0.003614,10780,9800,1215
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,e13cc7664f514d948b8749b467b71b15,2026-09-12,luna,0.00232974,0.002799,10665,2607,555
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,amc12a_2008_p4__luna-none-medium__gpt-5.6-luna__seed0,f1eaec7d9bd441d2ad2194b4063370a2,2026-09-12,luna,0.00248034,0.0029496,11220,2607,588
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,9449d4084d9848d6903a7e83799f6dac,2026-09-12,luna,0.00042474,0.0008939999999999999,4122,2607,58
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,7e033c5e0b5d4e7aaaeac3a3425a9496,2026-09-12,luna,0.00200218,0.0027435999999999997,5132,4119,1431
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,5ab47542b6584ef58c390b707b55ab47,2026-09-12,luna,0.00188434,0.0023536,8048,2607,620
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,64e1cea2dc8647eeafde2658fb89516c,2026-09-12,luna,0.0019427399999999999,0.002412,8808,2607,542
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,f015c8e70ac14ef49af296c6f025aeff,2026-09-12,luna,0.0011148999999999998,0.0026998,9569,8805,655
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,f244e6cb08dd4e1e911920dac06a2475,2026-09-12,luna,0.00200814,0.0024774,8703,2607,614
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,5c4d2fb5f1d249038b044706059332e2,2026-09-12,luna,0.00259854,0.0030678,12069,2607,545
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,3c716105ab0244a086562a2e0a3be178,2026-09-12,luna,0.00208874,0.0025579999999999995,11368,2607,237
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,7c4120cecd464309942a973f56a3559e,2026-09-12,luna,0.0011851000000000001,0.0032308,12092,11365,677
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,359e1099662a4c2784896e349f43d3c1,2026-09-12,luna,0.00414894,0.004618199999999999,13215,2607,1646
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,induction_prod1p1onk3le3m1onn__luna-none-medium__gpt-5.6-luna__seed0,b6beca29aa6740c0b318dae182af13e1,2026-09-12,luna,0.00358354,0.0040528,15050,2607,869
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,d138816ff5304a75b98b1cd6090038aa,2026-09-12,luna,0.00048634,0.0009556,3896,2607,147
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,bb4254067ae54e0aa8f12a842ec8c361,2026-09-12,luna,0.00041865999999999995,0.0011194,4547,3893,175
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,427fcc21323f43bfa05c496b2261abf9,2026-09-12,luna,0.00045128,0.0012691999999999998,5116,4544,205
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,e320b82b25924bdb9eb7043400f79af0,2026-09-12,luna,0.0006410599999999999,0.0015614,5707,5113,350
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,187707998d7e4b68be175c970deee341,2026-09-12,luna,0.00052748,0.0015542,6613,5704,193
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,9493f2f8546c46389a111d514fea4956,2026-09-12,luna,0.000534,0.0017238,7119,6610,250
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,8e8836272265427383a89954a4de60e2,2026-09-12,luna,0.00060372,0.0018845999999999997,7755,7116,278
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,ead9c3a7309f4146b525e4469733d59f,2026-09-12,luna,0.00065184,0.0020472,8904,7752,222
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,b3ea375de40d40638626f5ab60e41ff2,2026-09-12,luna,0.0012410199999999998,0.0028431999999999997,12188,8901,338
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,d6ab48489cb040339c3d82737abdf1d1,2026-09-12,luna,0.0014551,0.0036483999999999996,13496,12185,791
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,ade0fa1144f64246a472a448055c3b97,2026-09-12,luna,0.00178546,0.0042141999999999995,14363,13493,1118
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,714d9868173c4009a67b5fd2b4e69774,2026-09-12,luna,0.00282994,0.0032992,13124,2607,562
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,6b0e56c43e8f49a7b60e12f26662415f,2026-09-12,luna,0.00054662,0.0029084,14272,13121,45
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,b867d6e2498d4cd2b0e13d8fb7e59aa5,2026-09-12,luna,0.00060138,0.0031697999999999995,14469,14269,230
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,cab07e5aab4d45119265b07b9c65cfef,2026-09-12,luna,0.00069092,0.0032948,15328,14466,191
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,0595619e34524a3ab8dd664b691f4ec1,2026-09-12,luna,0.0005883,0.0033468,15642,15325,182
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,ea035d11acbc48ada8942f2a573ec186,2026-09-12,luna,0.00117198,0.003987,15921,15639,669
experiments/campaigns/ace_attribution_20260912/ledger.sqlite3,algebra_others_exirrpowirrrat__luna-none-medium__gpt-5.6-luna__seed0,5711fbed82dc4dd48d98205c1e40d1ec,2026-09-12,luna,0.00286856,0.0057338,23695,15918,829
