bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-mini,high,high,9,3,12,0,True,0.2,True,5,13918,11264,2728,0.0320055
002,gpt-5.4,gpt-5.4-mini,high,high,3,3,12,0,True,0.2,False,2,3973,2816,21320,0.21499824999999997
003,gpt-5.4,gpt-5.4-mini,high,high,13,3,12,0,True,0.2,False,7,22426,16896,26768,0.2767045
004,gpt-5.4,gpt-5.4-mini,high,high,17,3,12,0,True,0.2,True,9,29031,22528,8939,0.10033474999999999
005,gpt-5.4,gpt-5.4-mini,high,high,11,3,12,0,True,0.2,True,6,17599,14080,6578,0.07193875
006,gpt-5.4,gpt-5.4-mini,high,high,11,3,12,0,True,0.2,True,6,17581,14592,3954,0.04510025
007,gpt-5.4,gpt-5.4-mini,high,high,13,3,12,0,True,0.2,True,7,21364,17920,8075,0.087295
008,gpt-5.4,gpt-5.4-mini,high,high,13,3,12,0,True,0.2,False,7,22805,16896,28668,0.29617825
009,gpt-5.4,gpt-5.4-mini,high,high,11,3,12,0,True,0.2,False,6,19140,14592,23159,0.23909899999999998
010,gpt-5.4,gpt-5.4-mini,high,high,3,3,12,0,True,0.2,False,2,4042,2816,22666,0.22854449999999998
011,gpt-5.4,gpt-5.4-mini,high,high,3,3,12,0,True,0.2,True,2,4035,2816,3201,0.03388574999999999
012,gpt-5.4,gpt-5.4-mini,high,high,13,3,12,0,True,0.2,True,7,21977,16896,14728,0.15574325
013,gpt-5.4,gpt-5.4-mini,high,high,13,3,12,0,True,0.2,False,7,21764,16896,27491,0.283107
014,gpt-5.4,gpt-5.4-mini,high,high,3,3,12,0,True,0.2,True,2,3910,2816,1288,0.014599499999999998
015,gpt-5.4,gpt-5.4-mini,high,high,17,3,12,0,True,0.2,False,9,29028,22528,38804,0.3989809999999999
016,gpt-5.4,gpt-5.4-mini,high,high,13,3,12,0,True,0.2,False,7,22022,16896,28592,0.29443949999999997
017,gpt-5.4,gpt-5.4-mini,high,high,3,3,12,0,True,0.2,True,2,3940,2816,1382,0.015577
018,gpt-5.4,gpt-5.4-mini,high,high,3,3,12,0,True,0.2,False,2,4453,2816,25094,0.25333825
019,gpt-5.4,gpt-5.4-mini,high,high,9,3,12,0,True,0.2,False,5,15869,11264,20963,0.21679425
020,gpt-5.4,gpt-5.4-mini,high,high,12,3,12,0,True,0.2,False,7,19654,14080,19196,0.2006875
021,gpt-5.4,gpt-5.4-mini,high,high,13,3,12,0,True,0.2,False,7,22902,16896,19149,0.2011095
022,gpt-5.4,gpt-5.4-mini,high,high,19,3,12,0,True,0.2,False,10,33707,25344,19002,0.20364174999999995
