bench_name,model_name,temperature,max_feedback_cycles_per_step,max_steps,seed,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5-mini-2025-08-07,1.0,3,20,0,True,5,5,11306,5376,2806,0.0072289
002,gpt-5-mini-2025-08-07,1.0,3,20,0,True,6,6,14054,8960,2839,0.0071755000000000005
003,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,20570,14080,6916,0.0158065
004,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,20824,11776,4218,0.010992400000000001
005,gpt-5-mini-2025-08-07,1.0,3,20,0,True,6,6,14207,5376,1600,0.005542149999999999
006,gpt-5-mini-2025-08-07,1.0,3,20,0,True,6,6,14287,8960,3216,0.00798775
007,gpt-5-mini-2025-08-07,1.0,3,20,0,True,7,7,17055,7680,2730,0.00799575
008,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,20966,13824,7239,0.0166091
009,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,21165,17152,7733,0.016898049999999998
010,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,20114,14080,24546,0.0509525
011,gpt-5-mini-2025-08-07,1.0,3,20,0,True,2,2,3152,1792,1218,0.0028207999999999996
012,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,20218,12544,7256,0.016744099999999998
013,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,20496,14080,12330,0.026616
014,gpt-5-mini-2025-08-07,1.0,3,20,0,True,2,2,3105,1792,784,0.00194105
015,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,19862,8960,13411,0.0297715
016,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,20544,12544,10112,0.0225376
017,gpt-5-mini-2025-08-07,1.0,3,20,0,True,2,2,3134,1792,691,0.0017623
018,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,21133,12800,6454,0.015311249999999998
019,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,20864,13568,7118,0.0163992
020,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,21423,14592,10079,0.022230549999999998
021,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,21321,12800,8648,0.01974625
022,gpt-5-mini-2025-08-07,1.0,3,20,0,False,8,8,20808,13568,8996,0.020141199999999998
