campaign,arm,cells,solves,cost,source
ace_bounded_20260908,Reference,40,28,1.52378888,experiments/campaigns/ace_bounded_20260908/final_report.json
ace_bounded_20260908,Bounded,40,25,0.67804714,experiments/campaigns/ace_bounded_20260908/final_report.json
ace_polish_20260909,Reference,80,53,1.43330822,experiments/campaigns/ace_polish_20260909/final_report.json
ace_polish_20260909,Polish,80,53,1.51289576,experiments/campaigns/ace_polish_20260909/final_report.json
ace_control_cycle_20260909,Reference,40,25,0.67804714,experiments/campaigns/ace_control_cycle_20260909/final_report.json
ace_control_cycle_20260909,Control cycle,40,28,1.0252881,experiments/campaigns/ace_control_cycle_20260909/final_report.json
