label,raw,qualified,cost
No ACE,54,54,1.6059362
X3,57,57,1.55779084
No reflector,57,57,1.56293934
Three epochs,53,53,1.5982058399999999
Monolithic,55,55,1.74945956
Cited-only,55,55,1.70433478
Stronger writers,55,55,1.62627422
V5,53,53,1.87518224
"V5, rendering 2",53,53,1.5826559599999999
"X3, rendering 2",56,56,1.8553300799999999
Digest table,51,51,1.72465568
Hint on error,53,53,1.6731532599999999
Repair bullets,56,55,1.79861096
