model,role,cost,requests,embedding_status
luna,curator,0.041453979999999994,41,unavailable
luna,generator,0.71110378,511,unavailable
luna,reducer,0.0136184,10,unavailable
luna,reflector,0.15074759999999998,40,unavailable
terra,curator,0.41292200000000007,40,included
terra,embeddings,4.0600000000000004e-05,25,included
terra,generator,5.998383999999999,396,included
terra,reducer,0.130302,10,included
terra,reflector,1.5575699999999995,40,included
