arm,administrative,cached_input_tokens,cached_share,cap,cells,complete,cost,cost_per_solve,failed,input_tokens,luna_rate_cost,output_tokens,qualified_solves,raw_solves,requests,uncached_cost
gpt-5.6-luna/luna,0,4458438.0,0.7586648266285954,0.1,40,True,0.66722836,0.02471216148148148,0,5876690.0,0.66722836,245341.0,27,27,447,1.4697471999999998
gpt-5.6-luna/none,0,3734255.0,0.6460633140334954,0.1,40,True,0.7765120999999999,0.03235467083333333,0,5780014.0,0.7765120999999999,243896.0,24,24,497,1.448678
gpt-5.6-luna/terra,0,5795563.0,0.7935381462394601,0.1,40,True,0.73419426,0.0305914275,0,7303446.0,0.73419426,263922.0,24,24,550,1.7773956
gpt-5.6-terra/luna,0,5420641.0,0.8059543467471693,1,40,True,6.8522742,0.2362853172413793,0,6725742.0,0.68522742,263162.0,29,29,524,16.609427999999998
gpt-5.6-terra/none,0,4855388.0,0.7920550906557365,1,40,True,6.6106256,0.22795260689655172,0,6130114.0,0.66106256,257508.0,29,29,555,15.350323999999999
gpt-5.6-terra/terra,0,5669931.0,0.8197775845501708,1,40,True,6.451344199999999,0.21504480666666664,0,6916426.0,0.64513442,235364.0,30,30,514,16.65722
