stage,arm,cap,cells,cost,cost_per_solve,platform_failures,qualified_solves,raw_solves
training,luna-ace,0.1,40,0.68922336,0.024615119999999997,0,28,28
training,luna-none,0.1,40,0.81821062,0.029221807857142856,0,28,28
training,terra-ace,1.0,40,5.474728,0.17108525,0,32,32
training,terra-none,1.0,40,5.9526856,0.18038441212121212,0,33,33
validation,luna-ace,0.1,40,0.66722836,0.02471216148148148,0,27,27
validation,luna-none,0.1,40,0.7765120999999999,0.03235467083333333,0,24,24
validation,terra-ace,1.0,40,6.4513442,0.21504480666666667,0,30,30
validation,terra-none,1.0,40,6.6106256,0.22795260689655172,0,29,29
