arm,admitted_negative,correct_positive,cost,negative_abstentions,platform_failures,useful
A,0,4,0.00797904,4,0,2
F,0,5,0.0104078,3,0,3
Q,0,4,0.008750599999999999,3,0,2
R,0,1,0.03109174,0,0,1
