budget_dollars,solved_problems
0.0,0
0.0019688,1
0.0024121,2
0.0025895499999999995,3
0.004448199999999999,4
0.0047693,5
0.0054375,6
0.0064028,7
0.02285645,8
0.023296700000000004,9
0.0353951,10
0.06631699999999999,10
