bench_name,model_name,temperature,max_feedback_cycles_per_step,max_steps,seed,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5-mini-2025-08-07,1.0,5,20,0,True,5,5,11180,5888,1489,0.004448199999999999
002,gpt-5-mini-2025-08-07,1.0,5,20,0,True,6,6,14074,9472,1691,0.0047693
003,gpt-5-mini-2025-08-07,1.0,5,20,0,False,7,7,17544,11264,5212,0.0122756
004,gpt-5-mini-2025-08-07,1.0,5,20,0,True,8,8,20846,13568,10569,0.023296700000000004
005,gpt-5-mini-2025-08-07,1.0,5,20,0,True,6,6,14302,8960,1939,0.0054375
006,gpt-5-mini-2025-08-07,1.0,5,20,0,True,6,6,14192,9472,2493,0.0064028
007,gpt-5-mini-2025-08-07,1.0,5,20,0,True,8,8,20149,17408,10868,0.02285645
008,gpt-5-mini-2025-08-07,1.0,5,20,0,False,12,12,34240,26880,16167,0.034846
009,gpt-5-mini-2025-08-07,1.0,5,20,0,False,12,12,36000,28800,15896,0.034312
010,gpt-5-mini-2025-08-07,1.0,5,20,0,False,10,10,26321,19200,27685,0.05763025
011,gpt-5-mini-2025-08-07,1.0,5,20,0,True,2,2,3163,1792,1101,0.0025895499999999995
012,gpt-5-mini-2025-08-07,1.0,5,20,0,False,12,12,33297,20992,17879,0.03935905
013,gpt-5-mini-2025-08-07,1.0,5,20,0,True,12,12,32598,25344,16474,0.0353951
014,gpt-5-mini-2025-08-07,1.0,5,20,0,True,2,2,3138,2304,1073,0.0024121
015,gpt-5-mini-2025-08-07,1.0,5,20,0,False,12,12,31793,21760,23183,0.04941825
016,gpt-5-mini-2025-08-07,1.0,5,20,0,False,12,12,33284,26880,32022,0.06631699999999999
017,gpt-5-mini-2025-08-07,1.0,5,20,0,True,2,2,3112,1792,797,0.0019688
018,gpt-5-mini-2025-08-07,1.0,5,20,0,False,12,12,34976,27392,15340,0.0332608
019,gpt-5-mini-2025-08-07,1.0,5,20,0,False,12,12,32945,23040,17708,0.03846825
020,gpt-5-mini-2025-08-07,1.0,5,20,0,False,12,12,32696,20480,15420,0.034406
021,gpt-5-mini-2025-08-07,1.0,5,20,0,False,12,12,33328,23168,16543,0.03620519999999999
022,gpt-5-mini-2025-08-07,1.0,5,20,0,False,12,12,34422,28416,20434,0.043079900000000004
