bench_name,model_name,temperature,max_feedback_cycles,seed,loop,max_dollar_budget,reasoning_effort,success,num_completions,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,,20,0,True,0.75,low,True,1,1,1910,1792,343,0.0038014999999999998
002,gpt-5.4,,20,0,True,0.75,low,True,1,1,1910,1792,470,0.0050715
003,gpt-5.4,,20,0,True,0.75,low,True,2,2,4356,3584,1773,0.019142999999999997
004,gpt-5.4,,20,0,True,0.75,low,True,1,1,1908,1792,1253,0.012898999999999999
005,gpt-5.4,,20,0,True,0.75,low,True,1,1,1910,1792,725,0.0076215
006,gpt-5.4,,20,0,True,0.75,low,True,1,1,1910,1792,552,0.0058915
007,gpt-5.4,,20,0,True,0.75,low,True,1,1,1910,1792,733,0.0077015
008,gpt-5.4,,20,0,True,0.75,low,True,1,1,1910,1792,1505,0.0154215
009,gpt-5.4,,20,0,True,0.75,low,True,3,3,8379,5376,3956,0.04398575
010,gpt-5.4,,20,0,True,0.75,low,True,3,3,7111,5376,1643,0.019270749999999996
011,gpt-5.4,,20,0,True,0.75,low,True,1,1,1916,1792,245,0.002829
012,gpt-5.4,,20,0,True,0.75,low,True,3,3,7861,5376,3950,0.04327825
013,gpt-5.4,,20,0,True,0.75,low,True,2,2,4539,3584,3139,0.03303175
014,gpt-5.4,,20,0,True,0.75,low,True,1,1,1913,1792,170,0.00207525
015,gpt-5.4,,20,0,True,0.75,low,True,4,4,10637,7168,5312,0.058352249999999994
016,gpt-5.4,,20,0,True,0.75,low,True,2,2,3828,3584,3792,0.03867299999999999
017,gpt-5.4,,20,0,True,0.75,low,True,2,2,4165,3584,547,0.006644249999999999
018,gpt-5.4,,20,0,True,0.75,low,False,27,27,96282,71936,76124,0.8006645
019,gpt-5.4,,20,0,True,0.75,low,False,19,19,58158,42240,72905,0.7542274999999999
020,gpt-5.4,,20,0,True,0.75,low,False,30,30,85423,68352,74410,0.7739827499999998
021,gpt-5.4,,20,0,True,0.75,low,True,5,5,10696,8960,11536,0.11864999999999999
022,gpt-5.4,,20,0,True,0.75,low,True,8,8,18454,15360,20834,0.2141275
