bench_name,draft_model_name,cheap_draft_model_name,cheap_draft_effort,cheap_repair_model_name,cheap_repair_effort,cheap_num_completions,cheap_request_limit,cheap_dollar_limit,strong_draft_effort,strong_repair_model_name,num_completions,max_repair_cycles_per_step,max_total_steps,seed,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,190,0.004727
002,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,5,4,30,0,0.5,True,3,9990,8960,1967,0.0147599
003,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3745,3328,500,0.009374500000000001
004,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3744,3328,581,0.010587000000000001
005,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,650,0.011627
006,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,616,0.011117
007,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,541,0.009992000000000001
008,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,862,0.014807
009,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,10,4,30,0,0.5,True,6,23421,19968,13366,0.08812465000000001
010,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3747,3328,287,0.0061845
011,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3752,3328,121,0.0037070000000000002
012,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3755,3328,724,0.0127595
013,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3755,3328,782,0.013629500000000001
014,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3749,3328,68,0.0029045
015,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3750,3328,749,0.013122
016,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3750,3328,413,0.008082
017,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,3,4,30,0,0.5,True,2,6620,5120,1916,0.01312315
018,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,3,4,30,0,0.5,True,3,12365,9984,11260,0.17734850000000002
019,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,2,4,30,0,0.5,True,2,7510,6656,8853,0.136594
020,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3752,3328,1673,0.026987
021,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3753,3328,1657,0.026749500000000002
022,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,medium,2,6,0.04,medium,gpt-5.4,1,4,30,0,0.5,True,1,3756,3328,2113,0.033597
