bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-mini,low,medium,9,3,12,0,True,0.2,True,5,13918,11264,1207,0.016795499999999998
002,gpt-5.4,gpt-5.4-mini,low,medium,11,3,12,0,True,0.2,True,6,17391,14080,1994,0.025838749999999997
003,gpt-5.4,gpt-5.4-mini,low,medium,19,3,12,0,True,0.2,True,10,32768,25344,4168,0.054127999999999996
004,gpt-5.4,gpt-5.4-mini,low,medium,17,3,12,0,True,0.2,True,9,29246,22528,5192,0.0631335
005,gpt-5.4,gpt-5.4-mini,low,medium,11,3,12,0,True,0.2,True,6,17581,14080,2067,0.026806249999999997
006,gpt-5.4,gpt-5.4-mini,low,medium,11,3,12,0,True,0.2,True,6,17581,14080,1904,0.025176249999999997
007,gpt-5.4,gpt-5.4-mini,low,medium,11,3,12,0,True,0.2,True,6,17581,14080,2433,0.03046625
008,gpt-5.4,gpt-5.4-mini,low,medium,12,3,12,0,True,0.2,False,7,18471,14080,20211,0.20935874999999998
009,gpt-5.4,gpt-5.4-mini,low,medium,27,3,12,0,True,0.2,False,14,49345,36608,26376,0.28425724999999996
010,gpt-5.4,gpt-5.4-mini,low,medium,13,3,12,0,True,0.2,False,7,20299,16896,25899,0.26535575
011,gpt-5.4,gpt-5.4-mini,low,medium,3,3,12,0,True,0.2,True,2,3945,2816,442,0.0061832499999999995
012,gpt-5.4,gpt-5.4-mini,low,medium,13,3,12,0,True,0.2,False,7,21591,16896,22172,0.22970074999999998
013,gpt-5.4,gpt-5.4-mini,low,medium,21,3,12,0,True,0.2,True,11,36249,25344,12929,0.14608924999999998
014,gpt-5.4,gpt-5.4-mini,low,medium,3,3,12,0,True,0.2,True,2,3910,0,448,0.009367499999999999
015,gpt-5.4,gpt-5.4-mini,low,medium,11,3,12,0,True,0.2,False,6,17416,14080,19725,0.20317999999999997
016,gpt-5.4,gpt-5.4-mini,low,medium,19,3,12,0,True,0.2,False,10,30881,25344,20330,0.21338924999999997
017,gpt-5.4,gpt-5.4-mini,low,medium,3,3,12,0,True,0.2,True,2,3962,2816,482,0.006604499999999999
018,gpt-5.4,gpt-5.4-mini,low,medium,13,3,12,0,True,0.2,False,7,21381,14080,19439,0.20527625
019,gpt-5.4,gpt-5.4-mini,low,medium,14,3,12,0,True,0.2,False,8,23342,17408,21502,0.22461349999999997
020,gpt-5.4,gpt-5.4-mini,low,medium,19,3,12,0,True,0.2,False,10,33372,25344,21987,0.23307299999999997
021,gpt-5.4,gpt-5.4-mini,low,medium,11,3,12,0,True,0.2,False,6,17509,14080,19547,0.20151624999999998
022,gpt-5.4,gpt-5.4-mini,low,medium,9,3,12,0,True,0.2,False,5,14166,11264,19662,0.2016555
