bench_name,sketch_model_name,step_model_name,sketch_reasoning_effort,step_reasoning_effort,num_completions,max_feedback_cycles_per_step,max_steps,seed,loop,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4-mini,medium,medium,9,3,12,0,True,0.2,True,5,13918,8448,1621,0.0241035
002,gpt-5.4,gpt-5.4-mini,medium,medium,11,3,12,0,True,0.2,True,6,17421,14080,2592,0.031856249999999996
003,gpt-5.4,gpt-5.4-mini,medium,medium,19,3,12,0,True,0.2,True,10,32926,25344,5653,0.06917549999999999
004,gpt-5.4,gpt-5.4-mini,medium,medium,21,3,12,0,True,0.2,True,11,37517,28160,5582,0.07103625
005,gpt-5.4,gpt-5.4-mini,medium,medium,11,3,12,0,True,0.2,True,6,17493,14080,2451,0.030536249999999997
006,gpt-5.4,gpt-5.4-mini,medium,medium,11,3,12,0,True,0.2,True,6,17599,14080,3473,0.040888749999999995
007,gpt-5.4,gpt-5.4-mini,medium,medium,13,3,12,0,True,0.2,True,7,21242,16896,3404,0.0415845
008,gpt-5.4,gpt-5.4-mini,medium,medium,13,3,12,0,True,0.2,False,7,22774,16896,22380,0.23325949999999995
009,gpt-5.4,gpt-5.4-mini,medium,medium,23,3,12,0,True,0.2,False,12,42569,32000,18322,0.20043124999999998
010,gpt-5.4,gpt-5.4-mini,medium,medium,21,3,12,0,True,0.2,True,11,34899,28160,18345,0.19539374999999998
011,gpt-5.4,gpt-5.4-mini,medium,medium,5,3,12,0,True,0.2,True,3,7285,5632,9601,0.09878025
012,gpt-5.4,gpt-5.4-mini,medium,medium,17,3,12,0,True,0.2,False,9,28706,22528,19774,0.2082785
013,gpt-5.4,gpt-5.4-mini,medium,medium,11,3,12,0,True,0.2,False,6,17914,14080,21854,0.22509249999999995
014,gpt-5.4,gpt-5.4-mini,medium,medium,3,3,12,0,True,0.2,True,2,3910,2816,842,0.0101395
015,gpt-5.4,gpt-5.4-mini,medium,medium,9,3,12,0,True,0.2,False,5,14091,11264,27281,0.27775174999999996
016,gpt-5.4,gpt-5.4-mini,medium,medium,19,3,12,0,True,0.2,False,10,33318,25344,20311,0.21624549999999998
017,gpt-5.4,gpt-5.4-mini,medium,medium,3,3,12,0,True,0.2,True,2,3958,2816,599,0.007769499999999999
018,gpt-5.4,gpt-5.4-mini,medium,medium,15,3,12,0,True,0.2,False,8,28263,21248,20266,0.21408475
019,gpt-5.4,gpt-5.4-mini,medium,medium,17,3,12,0,True,0.2,False,9,33215,23552,24723,0.26225275
020,gpt-5.4,gpt-5.4-mini,medium,medium,15,3,12,0,True,0.2,False,8,25759,19712,19927,0.20929274999999997
021,gpt-5.4,gpt-5.4-mini,medium,medium,19,3,12,0,True,0.2,False,10,32443,25856,29721,0.3086757499999999
022,gpt-5.4,gpt-5.4-mini,medium,medium,25,3,12,0,True,0.2,False,13,45722,35328,21006,0.2274685
