bench_name,draft_model_name,cheap_draft_model_name,cheap_draft_effort,cheap_repair_model_name,cheap_request_limit,strong_draft_effort,strong_repair_model_name,num_completions,max_repair_cycles_per_step,max_total_steps,seed,max_dollar_budget,success,num_requests,input_tokens,cached_input_tokens,output_tokens,price
001,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,191,0.004742
002,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,249,0.005612000000000001
003,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3745,3328,490,0.0092245
004,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3744,3328,602,0.010902
005,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,774,0.013487
006,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,16,4,30,0,0.5,True,4,12866,9728,3624,0.0260495
007,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,563,0.010322
008,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3746,3328,1234,0.020387000000000002
009,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,17,4,30,0,0.5,True,5,19951,17152,9543,0.07598395000000001
010,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3747,3328,292,0.0062595
011,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3752,3328,396,0.007832
012,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3755,3328,772,0.0134795
013,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3755,3328,767,0.0134045
014,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3749,3328,71,0.0029495
015,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,11,4,30,0,0.5,True,3,10813,7936,4463,0.028934850000000005
016,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,6,4,30,0,0.5,True,2,7213,5632,1248,0.013364550000000001
017,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3751,3328,262,0.0058195
018,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,2,4,30,0,0.5,True,2,8627,6656,4175,0.0692165
019,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,3,4,30,0,0.5,True,3,14605,11008,4736,0.0827845
020,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3752,3328,2547,0.040097
021,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,11,4,30,0,0.5,True,3,11600,8448,4268,0.05109225
022,gpt-5.4,gpt-5.4,low,gpt-5.4-mini,4,medium,gpt-5.4,1,4,30,0,0.5,True,1,3756,3328,943,0.016047
