budget_dollars,solved_problems
0.0,0
0.00212695,1
0.0030824499999999996,2
0.0033781999999999996,3
0.0052241,4
0.005481700000000001,5
0.00884205,6
0.01075025,7
0.0234395,8
0.0277718,9
0.053116699999999996,10
0.12899845,11
0.16923585000000002,12
0.26701115,12
